farm_id,crop_age_months,farm_acreage,rainfall_mm,fertilizer_kg_per_acre,bagasse_tons,leaves_tons,press_mud_tons,sugarcane_variety_Co-86032,sugarcane_variety_Co-94012,sugarcane_variety_CoM-0265,soil_type_Clay,soil_type_Loam,soil_type_Sandy,irrigation_type_Flood,irrigation_type_Rainfed
F0001,0.3815319069398825,-0.12346371406865154,0.04928878728118624,1.064091600501929,44.54,17.92,6.34,True,False,False,True,False,False,False,True
F0002,-0.6685559103258493,-1.4555804563681403,-0.4538621005011371,1.6648042260836131,9.53,2.8,1.25,False,False,True,False,False,False,False,False
F0003,0.7315611793617931,-0.4196637897093612,1.9661041986862295,0.2216287719422498,43.66,16.35,5.41,False,False,True,False,False,True,False,False
F0004,-0.3185266379039387,0.7008814699896205,-0.7343845096935834,-0.5744375530155922,51.8,15.79,8.2,True,False,False,False,False,False,False,False
F0005,0.3815319069398825,0.6899110968177423,-0.9843810282046749,-1.529228758716562,63.77,18.01,8.93,True,False,False,True,False,False,False,True
F0006,1.4316197242056143,0.409382982851144,-0.5017561703632621,1.4841020541606673,72.26,26.87,9.94,False,False,True,True,False,False,False,False
F0007,-1.0185851827477599,-0.78168610438134,-0.4575462597213008,1.4645666842230514,21.74,8.85,2.82,False,False,True,False,False,False,False,True
F0008,0.3815319069398825,0.2965448587975404,0.6040179041457971,-0.8137458347513851,53.47,22.76,7.14,False,True,False,True,False,False,True,False
F0009,0.7315611793617931,-0.3742151008544376,-2.1191020680150183,0.7002453354138355,44.25,15.13,6.77,False,True,False,False,False,False,False,True
F0010,-0.3185266379039387,1.840233083697536,0.425599336197882,-1.4193423028174734,83.06,33.04,7.39,True,False,False,False,False,True,False,True
F0011,-0.6685559103258493,1.3779102143112432,-0.5928075339473016,-1.1092183050578235,55.89,17.68,9.39,False,True,False,False,False,False,True,False
F0012,0.7315611793617931,0.8999153832508382,0.7950678751342743,-0.9358418968614834,64.96,31.77,10.76,False,False,False,False,False,True,False,True
